case,miss,miss_rate,policy,size
case_3.txt,45,0.225,LRUCache,11
case_3.txt,45,0.225,LRUCache,12
case_3.txt,43,0.215,LRUCache,13
case_3.txt,41,0.205,LRUCache,14
case_3.txt,40,0.2,LRUCache,15
case_3.txt,38,0.19,LRUCache,16
case_3.txt,38,0.19,LRUCache,17
case_3.txt,38,0.19,LRUCache,18
case_3.txt,37,0.185,LRUCache,19
case_3.txt,36,0.18,LRUCache,20
case_3.txt,34,0.17,LRUCache,21
case_3.txt,34,0.17,LRUCache,22
case_3.txt,34,0.17,LRUCache,23
case_3.txt,33,0.165,LRUCache,24
case_3.txt,32,0.16,LRUCache,25
case_3.txt,26,0.13,LRUCache,26
case_3.txt,26,0.13,LRUCache,27
case_3.txt,26,0.13,LRUCache,28
case_3.txt,26,0.13,LRUCache,29
case_3.txt,26,0.13,LRUCache,30
case_3.txt,166,0.83,FIFOCache,1
case_3.txt,138,0.69,FIFOCache,2
case_3.txt,116,0.58,FIFOCache,3
case_3.txt,96,0.48,FIFOCache,4
case_3.txt,88,0.44,FIFOCache,5
case_3.txt,83,0.415,FIFOCache,6
case_3.txt,74,0.37,FIFOCache,7
case_3.txt,70,0.35,FIFOCache,8
case_3.txt,63,0.315,FIFOCache,9
case_3.txt,60,0.3,FIFOCache,10
case_3.txt,60,0.3,FIFOCache,11
case_3.txt,58,0.29,FIFOCache,12
case_3.txt,55,0.275,FIFOCache,13
case_3.txt,54,0.27,FIFOCache,14
case_3.txt,49,0.245,FIFOCache,15
case_3.txt,46,0.23,FIFOCache,16
case_3.txt,46,0.23,FIFOCache,17
case_3.txt,46,0.23,FIFOCache,18
case_3.txt,45,0.225,FIFOCache,19
case_3.txt,43,0.215,FIFOCache,20
case_3.txt,42,0.21,FIFOCache,21
case_3.txt,42,0.21,FIFOCache,22
case_3.txt,40,0.2,FIFOCache,23
case_3.txt,33,0.165,FIFOCache,24
case_3.txt,28,0.14,FIFOCache,25
case_3.txt,26,0.13,FIFOCache,26
case_3.txt,26,0.13,FIFOCache,27
case_3.txt,26,0.13,FIFOCache,28
case_3.txt,26,0.13,FIFOCache,29
case_3.txt,26,0.13,FIFOCache,30
